Recursion Count, Time
2,3919632733
4,3997654511
6,3951576665
8,3777367328
10,3720306594
12,3680572060
14,3737714200
16,3758225953
18,3810986288
20,3768113154
22,3876344377
24,3809452143
26,3815315941
28,3835264742
30,3804696811
32,3831406872
34,3884640541
36,3895244264
38,4006556533
40,3969564094
42,3835517040
44,3864336352
46,3924836560
48,3934200057
50,3885775025
52,4014546949
54,4031016286
56,3953060804
58,4197367985
60,4087493886
62,4082532487
64,4212956877
66,4215951197
68,4220446390
70,4277979283
72,4386207520
74,4186814330
76,4507607733
78,4360358409
80,4338432976
82,4576294459
84,4466130329
86,4472678856
88,4531035361
90,4509276132
92,4681325516
94,4611212249
96,4697488775
98,4258542883
100,4217728742
102,4295905950
104,4268433621
106,4247147743
108,4246100825
110,4624864570
112,4600991035
114,4404885867
116,4498975152
118,4392680438
120,4391991695
122,4391559668
124,4453028313
126,4503494175
128,4621255029
130,4557905174
132,4540205157
134,4590119697
136,4576273497
138,4595417147
140,4596084752
142,4656568373
144,5071592048
146,5291411630
148,5700404493
150,5416736434
152,5566785777
154,5470254581
156,5462800342
158,5969956081
160,5678094758
162,5303279801
164,5640451901
166,5937526396
168,5637204235
170,5781541196
172,5997385115
174,5489424887
176,6008282586
178,5893889294
180,5912901480
182,6161761588
184,6079787381
186,6038235688
188,6281798910
190,6424831034
192,5929961376
194,6109294334
196,5983646666
198,6024116857
200,5907897749
202,6025475997
204,6055358340
206,6652247772
208,6727390938
210,6635569091
212,6047460025
214,6182155019
216,5872043884
218,5776326767
220,5798980347
222,5802616091
224,5840616705
226,5894055199
228,5976615180
230,5959762152
232,5979102486
234,6004832755
236,5985363704
238,6020791690
240,6006277124
242,6218296841
244,6412440874
246,6198791511
248,7113455523
250,6962555215
252,7323719139
254,7278941954
256,7178509773
258,7074416930
260,7083842710
262,6876833937
264,7160328827
266,7241010856
268,7170977498
270,7402337842
272,7704364288
274,7544655837
276,7388265968
278,7355155259
280,8030472108
282,7660921200
284,8037959017
286,7874958752
288,7715816652
290,7559897884
292,7570398296
294,6866946884
296,7832300037
298,7304228505
300,7431288137
