Recursion Count, Time
2,1388731901
4,1531759406
6,1505387551
8,1459940771
10,1453025808
12,1447455581
14,1477813076
16,1477934284
18,1485214220
20,1451730447
22,1455000159
24,1465289115
26,1495032706
28,1511838509
30,1523784956
32,1518306462
34,1501766422
36,1518649122
38,1521209443
40,1518723040
42,1560139242
44,1593475499
46,1544431984
48,1596063980
50,1585397683
52,1613121209
54,1627597678
56,1630556658
58,1611650442
60,1630618473
62,1665089519
64,1691509960
66,1670646866
68,1676404046
70,1706454475
72,1714828789
74,1695392290
76,1714528033
78,1730265824
80,1758433459
82,1750009620
84,1742272977
86,1761779646
88,1783926491
90,1807226649
92,1777793747
94,1832376331
96,1792813622
98,1855938471
100,1834423553
102,1875377028
104,1872669051
106,1913920415
108,2001836250
110,1892011237
112,1974882382
114,1988870203
116,1956645103
118,1945638966
120,1937817790
122,1983630458
124,1971698792
126,2003258101
128,2018679264
130,1992436588
132,2031539164
134,2041971629
136,2057043423
138,2049125025
140,2035349083
142,2079916305
144,2067992462
146,2086586261
148,2073214439
150,2103684380
152,2126768085
154,2115683020
156,2145167383
158,2142391536
160,2177972717
162,2162696960
164,2185729394
166,2205602448
168,2222757373
170,2259075872
172,2237098185
174,2255153642
176,2251497757
178,2298367769
180,2269303956
182,2296437446
184,2308916197
186,2325159917
188,2338457831
190,2369439831
192,2372653983
194,2339750091
196,2371274559
198,2377502090
200,2351613465
202,2404399616
204,2432534155
206,2511576453
208,2518206063
210,2464757109
212,2498869944
214,2482404768
216,2512321964
218,2514743394
220,2539316274
222,2513448784
224,2571272306
226,2552675337
228,2561485166
230,2570727436
232,2572400386
234,2591433799
236,2616075557
238,2598336885
240,2670195402
242,2672485345
244,2709104778
246,2694318561
248,2740933485
250,2766620931
252,2733776026
254,2771189215
256,2762659078
258,2787135909
260,2702580787
262,2760375420
264,2813493553
266,2826650372
268,2834688839
270,2807180371
272,2828531577
274,2799640888
276,2838092337
278,2856954620
280,2841732939
282,2875586657
284,2901064170
286,2915294953
288,2867480251
290,2934635802
292,2939654074
294,2911532346
296,2953891010
298,2963275857
300,3015277383
