Recursion Count, Time
2,726424249
4,701742068
6,720808801
8,757186002
10,704238101
12,697450124
14,712352463
16,718517138
18,696743770
20,710415203
22,704734993
24,726011914
26,760526266
28,724041911
30,695057734
32,659054893
34,701578013
36,756130667
38,776886295
40,763758463
42,758493071
44,767168480
46,744622025
48,766905134
50,772853292
52,781847979
54,781838111
56,768370740
58,809848132
60,837139830
62,837158711
64,848579240
66,817094542
68,823832424
70,818605961
72,815310403
74,826122624
76,827663899
78,829340114
80,836635823
82,850478973
84,849045149
86,851594294
88,852660479
90,872173219
92,870833530
94,917398306
96,879933920
98,973419995
100,971382383
102,982305791
104,976485397
106,990437823
108,993943158
110,1002187934
112,1016905335
114,1021788000
116,1031876815
118,1028960740
120,1045892449
122,1050707692
124,992377144
126,997914412
128,1047513789
130,1050324854
132,1075253821
134,1074200049
136,1051119254
138,1085599548
140,1073390467
142,1138321952
144,1082223792
146,1076235413
148,1083921229
150,1123951994
152,1117916878
154,1117971443
156,1137908657
158,1120186182
160,1128811262
162,1153118372
164,1158404679
166,1144782611
168,1189219862
170,1197646800
172,1204040983
174,1179751028
176,1233570438
178,1224413356
180,1212258877
182,1237196626
184,1206279562
186,1233936230
188,1273970935
190,1242108151
192,1261123719
194,1277083085
196,1267704921
198,1273625394
200,1291713949
202,1301817587
204,1284380174
206,1313261545
208,1294967386
210,1320500971
212,1312897445
214,1329713907
216,1349860623
218,1325443680
220,1356234450
222,1353293062
224,1339616782
226,1363345430
228,1337821674
230,1359638753
232,1388993028
234,1404350513
236,1396211906
238,1406704704
240,1421621617
242,1431437286
244,1448871952
246,1465261372
248,1462716754
250,1459615453
252,1457338875
254,1494762413
256,1490416912
258,1504602728
260,1513678023
262,1509863685
264,1502297730
266,1496795178
268,1514030120
270,1529588675
272,1510272758
274,1531857070
276,1562452249
278,1567755944
280,1543047643
282,1549467974
284,1538323393
286,1579709704
288,1586654589
290,1611602197
292,1607007107
294,1559201960
296,1569219079
298,1613829053
300,1586779951
