Recursion Count, Time
2,2400483271
4,2419718992
6,2380018820
8,2380281570
10,2345100369
12,2340497168
14,2354844220
16,2362550592
18,2358893261
20,2353833927
22,2374026249
24,2376295927
26,2374297429
28,2502704386
30,2394273585
32,2426247855
34,2423795884
36,2462478213
38,2516084881
40,2506253243
42,2485898672
44,2499144563
46,2631083217
48,2573699907
50,2514551856
52,2542869580
54,2592600643
56,2566446970
58,2619857827
60,2661901058
62,2627104028
64,2714897982
66,2708491014
68,2763632336
70,2726638671
72,2689680627
74,2704646045
76,2703818385
78,2745566402
80,2764387246
82,2787103673
84,2877408737
86,2860675478
88,2819605299
90,2810341409
92,2834894576
94,2843512736
96,2876967963
98,2914898767
100,2887810484
102,2927784733
104,2954224551
106,2930494984
108,2981527084
110,2979201517
112,3018453896
114,3053968124
116,3017606478
118,3059501285
120,3068945734
122,3143843868
124,3189201441
126,3116550539
128,3132682405
130,3152872286
132,3159075179
134,3156025935
136,3214188241
138,3237951603
140,3188467195
142,3270480564
144,3268428185
146,3267896003
148,3307790368
150,3317791991
152,3313730940
154,3382512933
156,3394087539
158,3416123170
160,3436034495
162,3426547886
164,3438732548
166,3427641526
168,3468990694
170,3466658772
172,3538112893
174,3506222096
176,3524631414
178,3571397075
180,3578644940
182,3564071980
184,3586618118
186,3615374435
188,3645704998
190,3628471267
192,3641445694
194,3710107665
196,3904172616
198,4293443532
200,3793277158
202,3784102813
204,3801229117
206,3829459786
208,3823840192
210,3829886430
212,3832966169
214,3858441189
216,3918891692
218,4009714596
220,3974198609
222,4014861744
224,3992136765
226,3962592599
228,3967494148
230,3999323305
232,4054740951
234,4198296394
236,4267473637
238,4323851269
240,4319807580
242,4318553929
244,4336375582
246,4368662179
248,4520576109
250,4551490436
252,4574298832
254,4688119108
256,4872743407
258,5137863942
260,4760135200
262,4832216255
264,5008050149
266,4938560999
268,4959197864
270,4919681254
272,4978112470
274,4914102003
276,4901840446
278,4848786204
280,4823799729
282,4866385131
284,4858236248
286,4864684818
288,4889878604
290,4875252536
292,4857440462
294,4915054901
296,4949548571
298,5051702949
300,5025832263
