Recursion Count, Time
2,1346364686
4,1219326747
6,1159317065
8,1165145704
10,1170342285
12,1147522961
14,1143603629
16,1140028665
18,1157735132
20,1163690347
22,1147799885
24,1164929056
26,1170002068
28,1164657199
30,1176755890
32,1182352605
34,1198859560
36,1193760247
38,1216004543
40,1211940139
42,1208923570
44,1219433398
46,1244575033
48,1232610607
50,1262889794
52,1250662003
54,1286285934
56,1269812884
58,1303175042
60,1268420146
62,1275681037
64,1280739189
66,1292856842
68,1292977893
70,1315590501
72,1321464470
74,1308808591
76,1340152409
78,1349332104
80,1364165449
82,1368590161
84,1357031252
86,1369415686
88,1406947144
90,1393598845
92,1398723396
94,1398602824
96,1422593796
98,1431133105
100,1450412760
102,1455889263
104,1479795741
106,1469568898
108,1550889436
110,1571596051
112,1523636584
114,1577147311
116,1505465063
118,1496437618
120,1483379037
122,1530142880
124,1513390501
126,1538186275
128,1485346030
130,1530421181
132,1529120028
134,1524515625
136,1542265609
138,1548816122
140,1595871156
142,1602683977
144,1602607146
146,1612407223
148,1623553309
150,1630914064
152,1656046380
154,1655181328
156,1659718425
158,1645800650
160,1667063504
162,1701782442
164,1695275634
166,1719969893
168,1741832607
170,1714891786
172,1733320008
174,1738549114
176,1752107380
178,1833120479
180,1789640188
182,1795033121
184,1759994969
186,1837607481
188,1822073044
190,1808666304
192,1790901414
194,1788352328
196,1812108208
198,1819917174
200,1843992791
202,1834072401
204,1865315127
206,1843901070
208,1858104614
210,1875630248
212,1858791840
214,1887619374
216,1903923866
218,1907956461
220,1954276816
222,1868628486
224,1856268621
226,1894082117
228,1868968822
230,1899114668
232,1919359499
234,1982079310
236,1908807934
238,1936167433
240,1955568345
242,1926018755
244,1949194632
246,1972135533
248,1939473250
250,1987060869
252,2011251874
254,2248818268
256,2197564454
258,2206887996
260,2197956920
262,2241676004
264,2104528012
266,2100193081
268,2236415038
270,2258766359
272,2281543628
274,2266025653
276,2207234858
278,2345449716
280,2348625682
282,2093850602
284,2113387543
286,2095021266
288,2115712363
290,2137729431
292,2180892929
294,2140241446
296,2166811649
298,2183188014
300,2173642694
