Recursion Count, Time
2,4203068616
4,4223639999
6,4100059461
8,4121906213
10,4109056191
12,4132601309
14,4145755262
16,4176540832
18,4183241998
20,4165178492
22,4115466476
24,4123781958
26,4173517911
28,4254959181
30,4185585002
32,4188195973
34,4240528075
36,4221559701
38,4259637855
40,4267991666
42,4387572390
44,4420704951
46,5118641238
48,5189278512
50,4779063312
52,4767361960
54,5021216064
56,4932879957
58,4813500905
60,4947696882
62,5508508294
64,5350224111
66,5332313320
68,5641318123
70,5722927232
72,5572043597
74,5035356621
76,5320538300
78,7006829813
80,7060038061
82,5188990877
84,5396679111
86,5989201208
88,5574419575
90,5209553113
92,5175718598
94,5085048165
96,5413069779
98,5652371585
100,5963096129
102,5405762981
104,5294888357
106,5094806262
108,5054010633
110,5079465615
112,5502446422
114,5725238833
116,5558515925
118,5592695104
120,5800307169
122,5995141650
124,5856167697
126,5905079394
128,5836514570
130,5885389428
132,5840947318
134,5998027427
136,6319522461
138,6012548099
140,5838132514
142,6585980573
144,6182055264
146,5973997312
148,6035067656
150,6027757843
152,6181047896
154,6279961408
156,6477759071
158,6781451101
160,6493464468
162,6643096918
164,6516637426
166,6502192728
168,6741119272
170,6438423658
172,6472152636
174,6717096196
176,6971809137
178,6458502000
180,6428288503
182,6657305163
184,6572890718
186,6405069041
188,6563422775
190,7461357075
192,6947966632
194,7170144258
196,6971313329
198,6535456438
200,6564068669
202,6596227935
204,6692961360
206,6791293109
208,6698622629
210,6699329683
212,6897100814
214,6932134721
216,6870434100
218,7011775299
220,6681760310
222,6623020756
224,6646237763
226,6667786571
228,7370371071
230,7116830421
232,7117162663
234,7136431129
236,7206320676
238,7224022502
240,7295724172
242,7185752236
244,7273714068
246,7692384641
248,7548513212
250,7707370843
252,7587839466
254,7725943701
256,7743992285
258,7702019237
260,7611158673
262,7590156049
264,7797801436
266,7924144772
268,7848145952
270,7885480033
272,7948893872
274,7932900109
276,7872096152
278,8589027138
280,8069131728
282,8023258511
284,8130244472
286,7978290881
288,7955416586
290,7889393750
292,7876151037
294,7898436238
296,8265132507
298,7889394784
300,7761568171
