Recursion Count, Time
2,2904138732
4,2915966848
6,2890582950
8,2896788804
10,2896059490
12,2835048451
14,2851400219
16,2789267251
18,2896106136
20,2837586855
22,2845292485
24,2865603296
26,2872114803
28,2889353939
30,2931615291
32,2929374441
34,2968924375
36,2956838879
38,3002727817
40,2968556204
42,3011104937
44,3018423938
46,3068170893
48,3063584974
50,3071070044
52,3147400483
54,3140329249
56,3114997225
58,3178159898
60,3156873611
62,3204151520
64,3219734798
66,3234094570
68,3208338064
70,3308348970
72,3255416068
74,3317325895
76,3368407873
78,3348273026
80,3357813474
82,3356908189
84,3417685668
86,3449563167
88,3463448872
90,3484405140
92,3567528966
94,3707498656
96,3542510709
98,3537398567
100,3543196510
102,3547032367
104,3603949227
106,3645930651
108,3630848999
110,3857165458
112,3714284768
114,3682044858
116,3689111739
118,3735303130
120,3749339146
122,3765360526
124,3795926471
126,3847577427
128,3805564411
130,3797394894
132,3794494942
134,3720620627
136,3502053494
138,3507565853
140,3537747797
142,3611891926
144,3608529485
146,3630897338
148,3661303037
150,3678683717
152,3661712492
154,3736213479
156,3697844515
158,3723983918
160,3718799266
162,3717005951
164,3753467527
166,3789410138
168,3831452950
170,3896422016
172,3831530684
174,3900555723
176,3923852318
178,3943674238
180,3994567422
182,3968540188
184,3905365111
186,3951907558
188,3971766502
190,4031173807
192,4069303884
194,4043873931
196,4101065490
198,4066555795
200,4061195857
202,4079332215
204,4118564449
206,4115753858
208,4151710550
210,4124644373
212,4183546825
214,4430124095
216,4682380992
218,4778518182
220,4827362459
222,4812293425
224,4452906261
226,4422924411
228,4459252263
230,4432382559
232,4514753562
234,4520532125
236,4540396770
238,4643880280
240,4605308148
242,4599938297
244,4521166361
246,4536837875
248,4578427108
250,4645348500
252,4622515552
254,4655274719
256,4658278180
258,4648592681
260,4716908274
262,4732394235
264,4737425933
266,4784842022
268,4858429029
270,4830900558
272,4855743938
274,4890482134
276,4856703514
278,5008183375
280,5160638500
282,5067389165
284,5700089840
286,5810188875
288,5334954061
290,5078721319
292,5010072809
294,5056636417
296,5095884499
298,5082061567
300,5043340397
