Recursion Count, Time
2,1206938990
4,1185481174
6,1284884697
8,1259384029
10,1344806305
12,1475283339
14,1259970863
16,1206466714
18,1252319984
20,1230922676
22,1238818987
24,1260556691
26,1249810530
28,1254223352
30,1278295543
32,1277828935
34,1292314217
36,1302702770
38,1290675524
40,1309220062
42,1329573126
44,1354624239
46,1325789109
48,1368904458
50,1333418394
52,1338411675
54,1344745148
56,1364334016
58,1365141758
60,1400490784
62,1383443900
64,1403262021
66,1398756047
68,1390408539
70,1467497600
72,1423071325
74,1456657430
76,1460150893
78,1472623833
80,1502429189
82,1503854031
84,1522142606
86,1519094360
88,1519339429
90,1531693607
92,1534337228
94,1539160584
96,1568158402
98,1567969661
100,1554298788
102,1568242943
104,1599449480
106,1630312645
108,1701295455
110,1639756077
112,1607265326
114,1614044965
116,1680209422
118,1649554561
120,1665005020
122,1697841331
124,1674450108
126,1710591847
128,1701667273
130,1704398840
132,1719796911
134,1745779917
136,1735148485
138,1751532459
140,1758787657
142,1793888732
144,1785427064
146,1791439322
148,1804150073
150,1831424989
152,1841735346
154,1817136224
156,1845775247
158,1921082793
160,1932263489
162,1873460308
164,1842007075
166,1905263380
168,1878156068
170,1900675640
172,1923735680
174,1927320336
176,1971967786
178,1938541498
180,1972863236
182,1967359374
184,1954861459
186,1981844682
188,1986239355
190,2040527556
192,2021708636
194,2023284668
196,2059420597
198,2054058635
200,2052917203
202,2056285106
204,2078948123
206,2083756148
208,2122255441
210,2149483347
212,2160493525
214,2148761925
216,2150760449
218,2163518821
220,2156266529
222,2194923262
224,2169837357
226,2200050980
228,2259016452
230,2217800685
232,2251370094
234,2232149166
236,2254891725
238,2275670437
240,2311896551
242,2291908529
244,2333822199
246,2324503355
248,2312794265
250,2292487130
252,2314513470
254,2332018884
256,2346252159
258,2379125512
260,2367035589
262,2405645822
264,2401349490
266,2414836311
268,2388160156
270,2411532501
272,2427321912
274,2530307893
276,2691137039
278,2482108073
280,2460095278
282,2506724119
284,2518767962
286,2496200446
288,2482502756
290,2506519900
292,2521864569
294,2561510123
296,2542590790
298,2559730074
300,2589656403
