Recursion Count, Time
2,1628370022
4,1746030945
6,1706994499
8,1649825186
10,1686740641
12,1714741258
14,1692407926
16,1695779944
18,1688983559
20,1695466838
22,1694475827
24,1716994680
26,1710265166
28,1710599966
30,1720259220
32,1736481614
34,1767793568
36,1747716583
38,1754845967
40,1801153451
42,1780168259
44,1806935948
46,1794621971
48,1805139565
50,1838399811
52,1856656202
54,1833658896
56,1837033052
58,1821416309
60,1859629405
62,1852777976
64,1900190609
66,1918128006
68,1936052269
70,1919936817
72,1932928827
74,1965261835
76,1995755534
78,1996152267
80,2019477279
82,2012145631
84,2002244006
86,2022420781
88,2038937823
90,2039119885
92,2055126069
94,2058779914
96,2069637634
98,2104230934
100,2102890337
102,2301588682
104,2165959166
106,2148672403
108,2156169825
110,2201509074
112,2171083844
114,2196998150
116,2186270243
118,2212485372
120,2217216516
122,2250327218
124,2250570255
126,2260117633
128,2291778359
130,2298576912
132,2290320974
134,2335511763
136,2333889575
138,2376789174
140,2343895042
142,2346393949
144,2362369888
146,2413705245
148,2401302662
150,2382459170
152,2405955525
154,2451869860
156,2435314488
158,2443030822
160,2473813517
162,2500556497
164,2520700102
166,2523394045
168,2514372278
170,2556259644
172,2546169430
174,2536728997
176,2564198415
178,2528926746
180,2587212588
182,2605209077
184,2628114490
186,2629049578
188,2667720138
190,2649979978
192,2686593663
194,2675593018
196,2684205271
198,2719011501
200,2728632690
202,2730546941
204,2743633728
206,2762074887
208,2784759523
210,2762790492
212,2800936681
214,2824095087
216,2851692098
218,2839072238
220,2852172512
222,2888357234
224,2858517654
226,2879424748
228,2900569894
230,2921922333
232,2919950646
234,2901553316
236,2941694621
238,2995067407
240,3019407118
242,3037692089
244,3193198399
246,3322902633
248,3352266782
250,3312082593
252,3441970491
254,3591235630
256,3359769907
258,3571647618
260,3626732352
262,3644416103
264,3486694163
266,3494094792
268,3813295721
270,3328226057
272,3865189548
274,3590672680
276,3746232652
278,3581796098
280,3506961049
282,3504532252
284,3473261568
286,3932154307
288,3681220600
290,3577747224
292,3711287956
294,3650909912
296,3584707366
298,3725233952
300,3669752570
