Recursion Count, Time
2,4339053852
4,4292678949
6,3926317076
8,3853561547
10,4340481062
12,4070765454
14,3878649239
16,3846497856
18,4061345691
20,4579756131
22,4301797072
24,4393625512
26,4656852076
28,4389600249
30,4413512517
32,4409887630
34,4639825674
36,4425362524
38,4496638153
40,4828696704
42,4611405464
44,5339814982
46,5361636704
48,5415153867
50,5327824441
52,4741506379
54,4682331471
56,4560735842
58,4770964109
60,4816961873
62,4805578548
64,4865828621
66,4980943232
68,5060525416
70,4796015718
72,4843533620
74,5043507862
76,4934753801
78,4884373598
80,4835249183
82,4746786755
84,4775960919
86,4798351705
88,4780517431
90,4806764012
92,4885643801
94,4997833279
96,5055469789
98,5048081961
100,5071045218
102,5113164429
104,5136968516
106,5156067844
108,5100062542
110,5188936797
112,5238413283
114,5241558250
116,5340593707
118,5322689133
120,5264343585
122,4892462865
124,4863209652
126,4810646693
128,4933146528
130,4934303923
132,4948096361
134,5045180620
136,5441201584
138,5365491076
140,5192457808
142,5243596089
144,5253394930
146,5300991333
148,5271198116
150,5326015028
152,5380303210
154,5429498279
156,5454192874
158,5509873959
160,5411867698
162,5602900421
164,5670809666
166,6351058046
168,6789204392
170,6701748370
172,6180498924
174,6330652244
176,5583208549
178,5598016152
180,5784710535
182,5742055436
184,5751482760
186,5787344415
188,5752675407
190,5772158704
192,5766653737
194,6071267904
196,5854271103
198,5881222755
200,5942748580
202,5910197241
204,5962356682
206,6195072225
208,6022454261
210,6053513191
212,6044566377
214,6188311051
216,6185537946
218,6343507514
220,6248717931
222,6285791363
224,6277151723
226,6341516067
228,6410114809
230,6355178486
232,6877027424
234,6363338913
236,6503572378
238,6571471581
240,6482229329
242,6501538055
244,6543465510
246,6579624458
248,6591651373
250,6520784127
252,6593113340
254,6603665230
256,6700338860
258,7051847148
260,6713143269
262,6655697409
264,6716860309
266,6744667696
268,6770011368
270,6867778237
272,6852822083
274,6888788804
276,6911679255
278,7067321130
280,7563036689
282,7230317732
284,7452747069
286,7937764976
288,7614931498
290,7160525122
292,7122663987
294,7113935040
296,7136860312
298,7167923232
300,7189217245
