Recursion Count, Time
2,892610685
4,907809196
6,875159891
8,908951936
10,859861766
12,892261480
14,878486920
16,877985259
18,894496811
20,940619781
22,920358767
24,902863153
26,913552450
28,899330365
30,937085490
32,925162097
34,917348008
36,934035555
38,932379084
40,947361704
42,964011552
44,995500007
46,978873555
48,989041699
50,952213249
52,982939239
54,974973188
56,990075203
58,998012473
60,1035761329
62,1048053029
64,1024359744
66,1038305478
68,1037472614
70,1050208438
72,1045197523
74,1058012964
76,1103403559
78,1104799118
80,1123368754
82,1117418920
84,1122920202
86,1133359646
88,1141418816
90,1171045920
92,1165262786
94,1171014947
96,1181971201
98,1196999836
100,1185725980
102,1208110638
104,1202565146
106,1218604550
108,1231335038
110,1235742569
112,1237085407
114,1240690787
116,1332023204
118,1249982631
120,1253429005
122,1251751034
124,1288532454
126,1276230298
128,1301853886
130,1297244422
132,1301117747
134,1300641528
136,1305111733
138,1307075305
140,1351135629
142,1317884405
144,1329987701
146,1315704874
148,1369723496
150,1381112881
152,1345956523
154,1354230116
156,1388951609
158,1403334196
160,1409617203
162,1428283378
164,1417197983
166,1451891234
168,1438816513
170,1441695441
172,1455262480
174,1474377862
176,1489507050
178,1474631213
180,1500540239
182,1499718500
184,1516208606
186,1514821440
188,1532117515
190,1510592765
192,1539615223
194,1593651974
196,1562666667
198,1526128263
200,1571374404
202,1555570610
204,1570971564
206,1577985015
208,1580162147
210,1597021122
212,1587121303
214,1568283952
216,1588901692
218,1574809106
220,1652636029
222,1622618757
224,1615621782
226,1664848546
228,1656963351
230,1671062437
232,1675775526
234,1655120422
236,1716932814
238,1683968572
240,1685586171
242,1716142510
244,1728104101
246,1702276639
248,1754484264
250,1718184471
252,1779058287
254,1756449403
256,1765344432
258,1771463098
260,1786388219
262,1779903775
264,1815459539
266,1804116480
268,1838210997
270,1826391702
272,1834497156
274,1847811170
276,1817546749
278,1868466218
280,1887783845
282,1893255129
284,1907800364
286,1910966436
288,1914797857
290,1938813583
292,1952310503
294,1959761245
296,1966005162
298,1951006628
300,1994543182
