Recursion Count, Time
2,327387189
4,318682161
6,319074578
8,318901782
10,319407496
12,315795088
14,312565891
16,328259947
18,337709431
20,313442141
22,312717345
24,311538998
26,320423509
28,320028643
30,322638192
32,323161339
34,330293394
36,333005114
38,331344073
40,338879231
42,347885523
44,350055062
46,350921506
48,346103135
50,332690956
52,355041856
54,357277590
56,357622235
58,355857365
60,357777813
62,366890847
64,362187598
66,367401921
68,366734447
70,371739245
72,376502852
74,366992217
76,388928293
78,397854787
80,385101339
82,395496942
84,390258897
86,407003075
88,403504962
90,407803834
92,398325653
94,416870101
96,410912350
98,408776918
100,417578524
102,409660301
104,414998984
106,420496573
108,435328581
110,456941180
112,456474457
114,446642501
116,445153859
118,449686447
120,455442854
122,459456067
124,454356333
126,440553817
128,463966329
130,458141243
132,486981102
134,469242315
136,473318011
138,479414032
140,514532257
142,487856143
144,484316664
146,483794073
148,479445469
150,490498087
152,502396098
154,494089854
156,491410294
158,513640045
160,502313995
162,497164901
164,510147446
166,507878143
168,519769322
170,517344769
172,529411857
174,537672868
176,544084410
178,528946051
180,528047804
182,539965983
184,558849276
186,542407575
188,558080036
190,562676051
192,559835983
194,541495999
196,549393603
198,554811167
200,553462979
202,555614530
204,572281304
206,604798783
208,606397190
210,620595619
212,664679772
214,588284067
216,587916570
218,593854597
220,593377667
222,647512542
224,614993057
226,595908731
228,613323197
230,633139103
232,630636753
234,637166592
236,663714240
238,621086674
240,631026367
242,642531386
244,646394781
246,658697777
248,667027028
250,690323375
252,680845455
254,680103708
256,678189535
258,695505064
260,693771654
262,685249373
264,689027750
266,684122796
268,696455375
270,704879833
272,705305029
274,699960254
276,693641567
278,725711909
280,719614397
282,730637704
284,718597534
286,692344232
288,694126194
290,718676540
292,713724397
294,729819115
296,742342361
298,750381531
300,760775266
