Recursion Count, Time
2,1959837470
4,2086506763
6,2060387373
8,2043676182
10,2042059791
12,2038901557
14,2104095011
16,2103741899
18,2108253162
20,2243789621
22,2038280163
24,2021009659
26,2086693276
28,2166731741
30,2064752905
32,2103374994
34,2211191157
36,2252850000
38,2264595607
40,2153541090
42,2189895045
44,2411846820
46,2246085090
48,2216517917
50,2182929807
52,2223774277
54,2262988507
56,2371237349
58,2417143827
60,2301216468
62,2291979286
64,2375649595
66,2334282659
68,2459804546
70,2370667839
72,2459676570
74,2432936694
76,2406281482
78,2402016609
80,2483103056
82,2400736718
84,2408539657
86,2501637098
88,2379844668
90,2608542417
92,2552567200
94,2619871351
96,2770064795
98,3189396273
100,2803330951
102,2610764992
104,2633187256
106,2625929696
108,2707156077
110,2957441172
112,3100458959
114,2956092954
116,3062241547
118,2873196349
120,2836403155
122,2809730016
124,2637767294
126,2821921546
128,2736264763
130,2792716159
132,2840822622
134,2849499162
136,2827255664
138,2871533765
140,2933692601
142,2905827695
144,2953648365
146,2998534708
148,2963367109
150,2950083369
152,3007255182
154,2996625454
156,3035865770
158,3066655374
160,3070702928
162,3068200360
164,3116646975
166,3115166978
168,3142104142
170,3145399543
172,3154521469
174,3203294749
176,3230621986
178,3213336139
180,3235577184
182,3237620490
184,3260877899
186,3277196661
188,3231575534
190,3264455040
192,3303333887
194,3302687629
196,3319534115
198,3345824562
200,3404474564
202,3370202690
204,3407876708
206,3449412008
208,3712562457
210,3460203177
212,3501292945
214,3503609572
216,3554348764
218,3515546961
220,3473138769
222,3512284765
224,3544686440
226,3573111238
228,3574641688
230,3583988945
232,3703192787
234,3746159581
236,3781922004
238,3698439353
240,3676121368
242,3594529209
244,3702598744
246,3675982943
248,3716745220
250,3708560628
252,3767792101
254,3748023384
256,3698671944
258,3669947845
260,3708743358
262,3737844333
264,3710026274
266,3721726955
268,3764954709
270,3719670743
272,3782683046
274,3744916882
276,3783396773
278,3792947232
280,3776553720
282,3825048386
284,3871151288
286,3871616410
288,3861746441
290,3858983496
292,3859167426
294,3860673965
296,3733694271
298,3708982990
300,3693498106
