Recursion Count, Time
2,510070322
4,490794119
6,459494342
8,499002148
10,473250539
12,501918080
14,515887244
16,528060522
18,485501993
20,485745407
22,495803321
24,494400825
26,492292484
28,490321955
30,498116905
32,485264854
34,516173723
36,519503418
38,525380383
40,509509543
42,520293779
44,530105775
46,523553666
48,503972503
50,507869256
52,527954676
54,513854061
56,534485808
58,532680302
60,529187426
62,550226373
64,563051823
66,544052579
68,575814138
70,569992662
72,576228369
74,586608991
76,578839273
78,584498630
80,578122871
82,621178179
84,609069454
86,624878019
88,645462184
90,649039112
92,620359362
94,626197440
96,606298659
98,653590743
100,626956627
102,668881159
104,692638787
106,662520134
108,650711886
110,660222928
112,659037148
114,701917368
116,712041954
118,700369300
120,689705795
122,676265727
124,687991225
126,683262186
128,701682058
130,673729565
132,706795276
134,726135427
136,703990302
138,699729452
140,696538896
142,754203425
144,757599572
146,786304278
148,736300509
150,734916409
152,723185323
154,724060911
156,719857064
158,717905836
160,730263400
162,730031506
164,741055432
166,747658277
168,751275637
170,748140744
172,753509672
174,768866084
176,767104272
178,759404691
180,762241220
182,782119449
184,792187378
186,786335662
188,797708729
190,795575494
192,804910817
194,813145120
196,802995682
198,824938471
200,815659209
202,886965996
204,891053373
206,888010333
208,905674649
210,884312314
212,893889639
214,853640202
216,870070754
218,877258119
220,883093506
222,871858093
224,883281516
226,884104558
228,889005625
230,896483659
232,889030991
234,882617982
236,883505790
238,900475769
240,929131823
242,899729076
244,916165783
246,921707997
248,940957993
250,920332969
252,940900905
254,947431163
256,993266257
258,1008060441
260,1017681747
262,1016117337
264,1027885491
266,1000132576
268,1015212125
270,1007372468
272,992782400
274,1044830386
276,1044058686
278,1060340390
280,1057022037
282,1096241030
284,1090317782
286,1097929637
288,1086317292
290,1088739604
292,1082167519
294,1110924198
296,1111173163
298,1103086895
300,1113764239
