Recursion Count, Time
2,2162634200
4,2182569452
6,2121540931
8,2172542479
10,2148876566
12,2127408005
14,2143591412
16,2144132889
18,2132374411
20,2183509527
22,2189330075
24,2162303751
26,2172599393
28,2177446895
30,2166530208
32,2217092808
34,2196512620
36,2229042362
38,2213564999
40,2253369846
42,2244090570
44,2254736200
46,2283797070
48,2270351021
50,2255232264
52,2301275460
54,2307374161
56,2303773017
58,2346838687
60,2352992325
62,2377588924
64,2369877793
66,2393570694
68,2409634778
70,2424815317
72,2431428337
74,2443708508
76,2470258079
78,2475446443
80,2503173559
82,2457609880
84,2489056276
86,2540041180
88,2544764623
90,2549316632
92,2592339279
94,2574926432
96,2568588409
98,2615371252
100,2618182091
102,2992978817
104,2846947572
106,2681546136
108,2651893623
110,2673455701
112,2675084623
114,2765728003
116,2708439527
118,2748826550
120,2750278989
122,2749584779
124,2816796366
126,2758921066
128,2829744930
130,2823705296
132,2848366172
134,2864725133
136,2897116743
138,2885815341
140,2890686870
142,2907703505
144,2948970239
146,2944044289
148,2929296299
150,2967693736
152,2984275847
154,3052884680
156,3026979222
158,3309917479
160,3028427483
162,3094630489
164,3123585776
166,3103929407
168,3155137762
170,3116591361
172,3190062357
174,3185439623
176,3157958061
178,3194927791
180,3196884444
182,3222572868
184,3230911582
186,3237080590
188,3246019995
190,3322820921
192,3312451890
194,3270964078
196,3292955993
198,3338155961
200,3340815060
202,3349544843
204,3426618642
206,3421232074
208,3405211139
210,3472349467
212,3453299446
214,3469670392
216,3466095317
218,3508675635
220,3480989230
222,3521827724
224,3543761678
226,3558618515
228,3584965370
230,3577729005
232,3649510582
234,3625140982
236,3680330381
238,3740069059
240,4108095623
242,3733117636
244,3730027765
246,3755354322
248,3764410117
250,4003841534
252,3805668479
254,3834709547
256,3792721118
258,3846173090
260,3863509609
262,3895105026
264,3864752961
266,3856636375
268,3906545438
270,3868999786
272,3882452575
274,3922100237
276,3918364079
278,3972062963
280,3947710936
282,3962537783
284,4009877795
286,4039557648
288,4112589973
290,4059548314
292,4060334732
294,4097247344
296,4138707169
298,4109115085
300,4118056597
