Recursion Count, Time
2,2903461646
4,2901075216
6,2860754067
8,2823332814
10,2885355548
12,2899012418
14,2875184803
16,2903511259
18,2840001829
20,2846061626
22,3255226401
24,3038442212
26,3022360693
28,3204330780
30,3112621777
32,2972095387
34,2934118207
36,2955702021
38,2980184357
40,3020463726
42,3287706634
44,3108326428
46,3062485802
48,3056049127
50,3047907612
52,3082238615
54,3124759373
56,3137682150
58,3173361695
60,3118295529
62,3195556889
64,3156318214
66,3210636648
68,3232680740
70,3266668412
72,3223102994
74,3247242185
76,3257652128
78,3318836509
80,3363918310
82,3311380083
84,3353862881
86,3342035645
88,3377541337
90,3379954105
92,3430127797
94,3473405942
96,3465236418
98,3490791063
100,3546592342
102,3482503177
104,3688157737
106,3662004695
108,3592149860
110,3596244421
112,3608081545
114,3665703402
116,3676507823
118,3711391027
120,3689163854
122,3733834098
124,3722890100
126,3769210962
128,3788335931
130,3793081417
132,3866229169
134,3839550590
136,3811129399
138,3922417501
140,4057334712
142,4101791660
144,4069100493
146,4076358225
148,4120374795
150,4142676322
152,4165238962
154,4170838709
156,4067692950
158,4036023216
160,4058476665
162,4146491289
164,4121168911
166,4144241211
168,4100156745
170,4143938065
172,4176560739
174,4219337858
176,4245870331
178,4247969458
180,4228781483
182,4267803778
184,4381769552
186,4432672399
188,4404113130
190,4392591589
192,4401200425
194,4447615371
196,4414032700
198,4513403527
200,4465085711
202,4446771767
204,4575109198
206,4506752659
208,4552006988
210,4593381116
212,4649422079
214,4670990981
216,4685409524
218,4701505602
220,4651139519
222,4684273853
224,4722018824
226,4802136468
228,4777775768
230,4786302235
232,4863960623
234,5251958334
236,4922377869
238,4923583966
240,4934263293
242,5026836714
244,4985051152
246,5004790137
248,5458018270
250,5512828073
252,5458475927
254,5401478622
256,5493120039
258,5485290078
260,5455442038
262,5460223474
264,5574345228
266,5569831988
268,5603771844
270,5652019796
272,5662571659
274,5694263376
276,5696890703
278,5748950737
280,5764687329
282,5824875931
284,5842317728
286,5843162024
288,5843063778
290,5903771779
292,5930523199
294,5949371127
296,5975142430
298,6013514751
300,5975577101
