--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------

NOTES:  Run output sample:
        - Testing quick sort and its elapsed time over various array sizes and recursion limits.
        - Time totals are of average of running each case three times.
--------------------------------------------------------------------------------------------------------


============= Quick Sort for Array Size: 20000 =============

Recursions #: 134  |  Elapsed Time:   0 sec : 3 ms : 986984 ns = 3986984 ns
Recursions #: 136  |  Elapsed Time:   0 sec : 4 ms : 211451 ns = 4211451 ns
Recursions #: 138  |  Elapsed Time:   0 sec : 4 ms : 364333 ns = 4364333 ns
Recursions #: 140  |  Elapsed Time:   0 sec : 3 ms : 748200 ns = 3748200 ns
Recursions #: 142  |  Elapsed Time:   0 sec : 4 ms : 700011 ns = 4700011 ns
Recursions #: 144  |  Elapsed Time:   0 sec : 3 ms : 485023 ns = 3485023 ns
Recursions #: 146  |  Elapsed Time:   0 sec : 3 ms : 617030 ns = 3617030 ns
Recursions #: 148  |  Elapsed Time:   0 sec : 3 ms : 642038 ns = 3642038 ns
Recursions #: 150  |  Elapsed Time:   0 sec : 4 ms : 52395 ns = 4052395 ns
Recursions #: 152  |  Elapsed Time:   0 sec : 3 ms : 902650 ns = 3902650 ns
Recursions #: 154  |  Elapsed Time:   0 sec : 4 ms : 111870 ns = 4111870 ns
Recursions #: 156  |  Elapsed Time:   0 sec : 3 ms : 851922 ns = 3851922 ns
Recursions #: 158  |  Elapsed Time:   0 sec : 4 ms : 194335 ns = 4194335 ns
Recursions #: 160  |  Elapsed Time:   0 sec : 3 ms : 640582 ns = 3640582 ns
Recursions #: 162  |  Elapsed Time:   0 sec : 4 ms : 27976 ns = 4027976 ns
Recursions #: 164  |  Elapsed Time:   0 sec : 4 ms : 115804 ns = 4115804 ns
Recursions #: 166  |  Elapsed Time:   0 sec : 4 ms : 27207 ns = 4027207 ns
Recursions #: 168  |  Elapsed Time:   0 sec : 3 ms : 694780 ns = 3694780 ns
Recursions #: 170  |  Elapsed Time:   0 sec : 3 ms : 890631 ns = 3890631 ns
Recursions #: 172  |  Elapsed Time:   0 sec : 3 ms : 785062 ns = 3785062 ns
Recursions #: 174  |  Elapsed Time:   0 sec : 4 ms : 655970 ns = 4655970 ns
Recursions #: 176  |  Elapsed Time:   0 sec : 4 ms : 666150 ns = 4666150 ns
Recursions #: 178  |  Elapsed Time:   0 sec : 4 ms : 495698 ns = 4495698 ns
Recursions #: 180  |  Elapsed Time:   0 sec : 4 ms : 321799 ns = 4321799 ns
Recursions #: 182  |  Elapsed Time:   0 sec : 4 ms : 518955 ns = 4518955 ns
Recursions #: 184  |  Elapsed Time:   0 sec : 4 ms : 327847 ns = 4327847 ns
Recursions #: 186  |  Elapsed Time:   0 sec : 4 ms : 99479 ns = 4099479 ns
Recursions #: 188  |  Elapsed Time:   0 sec : 4 ms : 677207 ns = 4677207 ns
Recursions #: 190  |  Elapsed Time:   0 sec : 4 ms : 260118 ns = 4260118 ns
Recursions #: 192  |  Elapsed Time:   0 sec : 4 ms : 760218 ns = 4760218 ns
Recursions #: 194  |  Elapsed Time:   0 sec : 4 ms : 690016 ns = 4690016 ns
Recursions #: 196  |  Elapsed Time:   0 sec : 4 ms : 699626 ns = 4699626 ns
Recursions #: 198  |  Elapsed Time:   0 sec : 5 ms : 5423 ns = 5005423 ns
Recursions #: 200  |  Elapsed Time:   0 sec : 4 ms : 434215 ns = 4434215 ns
Recursions #: 202  |  Elapsed Time:   0 sec : 4 ms : 41200 ns = 4041200 ns
Recursions #: 204  |  Elapsed Time:   0 sec : 5 ms : 408785 ns = 5408785 ns
Recursions #: 206  |  Elapsed Time:   0 sec : 4 ms : 216286 ns = 4216286 ns
Recursions #: 208  |  Elapsed Time:   0 sec : 4 ms : 165029 ns = 4165029 ns
Recursions #: 210  |  Elapsed Time:   0 sec : 5 ms : 103080 ns = 5103080 ns
Recursions #: 212  |  Elapsed Time:   0 sec : 4 ms : 725572 ns = 4725572 ns
Recursions #: 214  |  Elapsed Time:   0 sec : 4 ms : 574110 ns = 4574110 ns
Recursions #: 216  |  Elapsed Time:   0 sec : 4 ms : 657320 ns = 4657320 ns
Recursions #: 218  |  Elapsed Time:   0 sec : 4 ms : 617903 ns = 4617903 ns
Recursions #: 220  |  Elapsed Time:   0 sec : 5 ms : 488282 ns = 5488282 ns
Recursions #: 222  |  Elapsed Time:   0 sec : 5 ms : 358843 ns = 5358843 ns
Recursions #: 224  |  Elapsed Time:   0 sec : 5 ms : 12524 ns = 5012524 ns
Recursions #: 226  |  Elapsed Time:   0 sec : 5 ms : 790677 ns = 5790677 ns
Recursions #: 228  |  Elapsed Time:   0 sec : 4 ms : 660829 ns = 4660829 ns
Recursions #: 230  |  Elapsed Time:   0 sec : 5 ms : 631963 ns = 5631963 ns
Recursions #: 232  |  Elapsed Time:   0 sec : 4 ms : 815212 ns = 4815212 ns
Recursions #: 234  |  Elapsed Time:   0 sec : 4 ms : 736538 ns = 4736538 ns
